Day,MoveSpeed,MaxEnergy,Size,SensorProbability
54,2.22224,95.8,0.8937157,0.3105724
55,2.260224,95.8,0.8962075,0.3105724
56,2.299072,95.8,0.8987514,0.3105724
57,2.337056,95.8,0.9012438,0.3105724
58,2.375264,95.8,0.9037502,0.3105724
59,2.416096,95.8,0.9064227,0.3105724
60,2.4536,95.8,0.9088845,0.3105724
61,2.4928,95.8,0.911451,0.3105724
62,2.530464,95.8,0.9139259,0.3105724
63,2.56928,95.8,0.9164702,0.3105724
64,2.60816,95.8,0.9190224,0.3105724
65,2.646112,95.8,0.9215139,0.3105724
66,2.684768,95.8,0.9240462,0.3105724
67,2.722912,95.8,0.9265459,0.3105724
68,2.7616,95.8,0.9290794,0.3105724
69,2.80032,95.8,0.9316198,0.3105724
70,2.838528,95.8,0.9341236,0.3105724
71,2.877024,95.8,0.936646,0.3105724
72,2.91456,95.8,0.9391121,0.3105724
73,2.95456,95.8,0.9417318,0.3105724
74,2.995008,95.8,0.9443854,0.3105724
75,3.033376,95.8,0.9468991,0.3105724
76,3.073664,95.8,0.9495405,0.3105724
77,3.113088,95.8,0.952125,0.3105724
78,3.15296,95.8,0.954739,0.3105724
79,3.1944,95.8,0.9574556,0.3105724
80,3.23312,95.8,0.9599924,0.3105724
81,3.2728,95.8,0.9625951,0.3105724
82,3.311648,95.8,0.9651383,0.3105724
83,3.352064,95.8,0.9677877,0.3105724
84,3.391008,95.8,0.9703437,0.3105724
85,3.429088,95.8,0.9728426,0.3105724
86,3.469632,95.8,0.9755054,0.3105724
87,3.509216,95.8,0.978106,0.3105724
88,3.547072,95.8,0.9805895,0.3105724
89,3.58592,95.8,0.9831374,0.3105724
90,3.623328,95.8,0.9855897,0.3105724
91,3.661312,95.8,0.9880842,0.3105724
92,3.699968,95.8,0.9906195,0.3105724
93,3.739168,95.8,0.9931935,0.3105724
94,3.779968,95.8,0.9958695,0.3105724
95,3.81952,95.8,0.9984578,0.3105724
96,3.860256,95.8,1.001127,0.3105724
97,3.90112,95.8,1.003812,0.3105724
98,3.9408,95.8,1.006412,0.3105724
99,3.982912,95.8,1.009168,0.3105724
100,4.02352,95.8,1.011832,0.3105724
101,4.062464,95.8,1.014383,0.3105724
102,4.10112,95.8,1.016916,0.3105724
103,4.151232,95.8,1.020198,0.2905724
104,4.188831,95.8,1.022659,0.2905724
105,4.227968,95.8,1.025223,0.2905724
106,4.266496,95.8,1.02775,0.2905724
107,4.305088,95.8,1.030282,0.2905724
108,4.344544,95.8,1.032866,0.2905724
109,4.382336,95.8,1.035347,0.2905724
110,4.420608,95.8,1.037858,0.2905724
111,4.46384,95.8,1.040692,0.2905724
112,4.5048,95.8,1.043378,0.3006735
113,4.543328,95.8,1.045901,0.3006735
114,4.581216,95.8,1.048385,0.3006735
115,4.619936,95.8,1.050924,0.3006735
116,4.657664,95.8,1.053396,0.3006735
117,4.695872,95.8,1.055904,0.3006735
118,4.73456,95.8,1.05844,0.3006735
119,4.772512,95.8,1.060935,0.3006735
120,4.8112,95.8,1.063469,0.3006735
121,4.848992,95.8,1.065954,0.3006735
122,4.887392,95.8,1.068477,0.3006735
123,4.926976,95.8,1.071065,0.3006735
124,4.96448,95.8,1.073525,0.3006735
125,5.003104,95.8,1.076058,0.3006735
126,5.040992,95.8,1.07854,0.3006735
127,5.080672,95.8,1.081144,0.3006735
128,5.11952,95.8,1.083691,0.3006735
129,5.157472,95.8,1.086177,0.3006735
130,5.196448,95.8,1.088735,0.3006735
131,5.234015,95.8,1.091195,0.3006735
132,5.271872,95.8,1.09368,0.3006735
133,5.311359,95.8,1.096273,0.3006735
134,5.349792,95.8,1.098795,0.3006735
135,5.388288,95.8,1.10132,0.3006735
136,5.426368,95.8,1.10382,0.3006735
137,5.46544,95.8,1.106382,0.3006735
138,5.504192,95.8,1.108925,0.3006735
139,5.541984,95.8,1.11141,0.3006735
140,5.5824,95.8,1.11406,0.3006735
141,5.619968,95.8,1.116528,0.3006735
142,5.658336,95.8,1.119049,0.3006735
143,5.697919,95.8,1.121644,0.3006735
144,5.704992,95.8,1.122132,0.3006735
145,5.704992,95.8,1.122132,0.3006735
146,5.704992,95.8,1.122132,0.3006735
147,5.704992,95.8,1.122132,0.3006735
148,5.704992,95.8,1.122132,0.3006735
149,5.704992,95.8,1.122132,0.3006735
150,5.704992,95.8,1.122132,0.3006735
151,5.704992,95.8,1.122132,0.3006735
152,5.704992,95.8,1.122132,0.3006735
153,5.704992,95.8,1.122132,0.3006735
154,5.704992,95.8,1.122132,0.3006735
155,5.704992,95.8,1.122132,0.3006735
156,5.704992,95.8,1.122132,0.3006735
157,5.704992,95.8,1.122132,0.3006735
158,5.704992,95.8,1.122132,0.3006735
159,5.704992,95.8,1.122132,0.3006735
160,5.704992,95.8,1.122132,0.3006735
161,5.704992,95.8,1.122132,0.2806736
162,5.704992,95.8,1.122132,0.2806736
163,5.704992,95.8,1.122132,0.2806736
164,5.704992,95.8,1.122132,0.2806736
165,5.704992,95.8,1.122132,0.2806736
166,5.704992,95.8,1.122132,0.2806736
167,5.704992,95.8,1.122132,0.2806736
168,5.704992,95.8,1.122132,0.2806736
169,5.704992,95.8,1.122132,0.2806736
170,5.704992,95.8,1.122132,0.2806736
171,5.704992,95.8,1.122132,0.2806736
172,5.704992,95.8,1.122132,0.2806736
173,5.704992,95.8,1.122132,0.2806736
174,5.704992,95.8,1.122132,0.2806736
175,5.704992,95.8,1.122132,0.2806736
176,5.704992,95.8,1.122132,0.2806736
177,5.704992,95.8,1.122132,0.2806736
178,5.704992,95.8,1.122132,0.2806736
179,5.704992,95.8,1.122132,0.2806736
180,5.704992,95.8,1.122132,0.2806736
181,5.704992,95.8,1.122132,0.2806736
182,5.704992,95.8,1.122132,0.2806736
183,5.704992,95.8,1.122132,0.2806736
184,5.704992,95.8,1.122132,0.2806736
185,5.704992,95.8,1.122132,0.2806736
186,5.704992,95.8,1.122132,0.2806736
187,5.704992,95.8,1.122132,0.2806736
188,5.704992,95.8,1.122132,0.2806736
189,5.704992,95.8,1.122132,0.2806736
190,5.704992,95.8,1.122132,0.2806736
191,5.704992,95.8,1.122132,0.2806736
192,5.704992,95.8,1.122132,0.2806736
193,5.704992,95.8,1.122132,0.2806736
194,5.704992,95.8,1.122132,0.2806736
195,5.704992,95.8,1.122132,0.2806736
196,5.704992,95.8,1.122132,0.2806736
197,5.704992,95.8,1.122132,0.2806736
198,5.704992,95.8,1.122132,0.2806736
199,5.704992,95.8,1.122132,0.2806736
200,5.704992,95.8,1.122132,0.2806736
201,5.704992,95.8,1.122132,0.3006735
202,5.704992,95.8,1.122132,0.3006735
203,5.704992,95.8,1.122132,0.3006735
204,5.704992,95.8,1.122132,0.3006735
205,5.704992,95.8,1.122132,0.3006735
206,5.704992,95.8,1.122132,0.3006735
207,5.704992,95.8,1.122132,0.3006735
208,5.704992,95.8,1.122132,0.3006735
209,5.704992,95.8,1.122132,0.3006735
210,5.704992,95.8,1.122132,0.3006735
211,5.704992,95.8,1.122132,0.3006735
212,5.704992,95.8,1.122132,0.3006735
213,5.704992,95.8,1.122132,0.3006735
214,5.704992,95.8,1.122132,0.3006735
215,5.704992,95.8,1.122132,0.3006735
216,5.704992,95.8,1.122132,0.3006735
217,5.704992,95.8,1.122132,0.3006735
218,5.704992,95.8,1.122132,0.3006735
219,5.704992,95.8,1.122132,0.3006735
220,5.704992,95.8,1.122132,0.3006735
221,5.704992,95.8,1.122132,0.3006735
222,5.704992,95.8,1.122132,0.3006735
223,5.704992,95.8,1.122132,0.3006735
224,5.704992,95.8,1.122132,0.3006735
225,5.704992,95.8,1.122132,0.3006735
226,5.704992,95.8,1.122132,0.3006735
227,5.704992,95.8,1.122132,0.3006735
228,5.704992,95.8,1.122132,0.3006735
229,5.704992,95.8,1.122132,0.3006735
230,5.704992,95.8,1.122132,0.3006735
231,5.704992,95.8,1.122132,0.3006735
232,5.704992,95.8,1.122132,0.3006735
233,5.704992,95.8,1.122132,0.3006735
234,5.704992,95.8,1.122132,0.3006735
235,5.704992,95.8,1.122132,0.3006735
236,5.704992,95.8,1.122132,0.3006735
237,5.704992,95.8,1.122132,0.3006735
238,5.704992,95.8,1.122132,0.3006735
239,5.704992,95.8,1.122132,0.3006735
240,5.704992,95.8,1.122132,0.3006735
241,5.704992,95.8,1.122132,0.3006735
242,5.704992,95.8,1.122132,0.3006735
243,5.704992,95.8,1.122132,0.3006735
244,5.704992,95.8,1.122132,0.3006735
245,5.704992,95.8,1.122132,0.3006735
246,5.704992,95.8,1.122132,0.2606736
247,5.704992,95.8,1.122132,0.2606736
248,5.704992,95.8,1.122132,0.2606736
249,5.704992,95.8,1.122132,0.2606736
250,5.704992,95.8,1.122132,0.2606736
251,5.704992,95.8,1.122132,0.2606736
252,5.704992,95.8,1.122132,0.2606736
253,5.704992,95.8,1.122132,0.2606736
254,5.704992,95.8,1.122132,0.2606736
255,5.704992,95.8,1.122132,0.2606736
256,5.704992,95.8,1.122132,0.2606736
257,5.704992,95.8,1.122132,0.2606736
258,5.704992,95.8,1.122132,0.2606736
259,5.704992,95.8,1.122132,0.2606736
260,5.704992,95.8,1.122132,0.2606736
261,5.704992,95.8,1.122132,0.2606736
262,5.704992,95.8,1.122132,0.2606736
263,5.704992,95.8,1.122132,0.2606736
264,5.704992,95.8,1.122132,0.2606736
